RepeatStatus,Rating,Marketing_Consent,isCash,isWeb,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold_Wallets,Coin_Card_Holders,Passport_Wallets,Long_Wallets,Luggage_Tags,Lanyard,Bag_Straps,Bracelets,isMale,percentDiscount,Payment_Method
1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,custom
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.704142012,custom
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.463087248,custom
1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256505576,custom
0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.28057554,custom
1,2,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0.201372998,custom
0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.494949495,custom
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Stripe
0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227799228,Cash
0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.595959596,Cash
1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.475806452,Cash
1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.046462264,Stripe
0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Stripe
0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,Stripe
1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05,manual
1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05,hoolah
0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stripe
1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Stripe
0,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hoolah
0,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stripe
1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4,custom
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stripe
0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,custom
0,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,custom
0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,GrabPay
0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Stripe
0,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,Stripe
1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,manual
1,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,"Atome - 3 easy payments, 0% interest"
1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,"Atome - 3 easy payments, 0% interest"
1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,manual
1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Stripe
1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,Stripe
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stripe
1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,manual
1,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,custom
1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,Stripe
0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05,Stripe
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,hoolah
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hoolah
0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1,Stripe
0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Atome - 3 easy payments, 0% interest"
0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stripe
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stripe
0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stripe
1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stripe
0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,custom
0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,custom
0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,custom
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Stripe
1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,custom
0,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stripe
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.126262626,Stripe
0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,Stripe
0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,"Atome - 3 easy payments, 0% interest"
0,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,Stripe
1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,manual
0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,External Debit
1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,custom
0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,custom
1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,Stripe
0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,Stripe + custom
0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,custom
0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,custom
1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,custom
1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,GrabPay
0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,manual
1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,custom
0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stripe
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GrabPay
0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.18,custom
1,5,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.18,custom
0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.18,Stripe
0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,hoolah
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,custom
0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Atome - 3 easy payments, 0% interest"
0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,custom
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,Stripe
0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cash
0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05,Stripe
0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.18,custom
0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,hoolah
1,5,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.177522936,GrabPay
0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,custom
0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,custom
0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0.4,custom
0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Atome - 3 easy payments, 0% interest"
0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.14,Stripe
0,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,custom
0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Atome - 3 easy payments, 0% interest"
0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.047115385,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.115207373,Stripe
1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.155032258,GrabPay
0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stripe
0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Atome - 3 easy payments, 0% interest"
0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,GrabPay
0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,custom
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,Stripe
1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.255102041,"Atome - 3 easy payments, 0% interest"
0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,custom
