RepeatStatus,Gender,MEMBER_RATING,Accepts Marketing,Discount_Percentage,Total,Installment,Source,PersonalizationDone,NumberItemsTotal,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold Wallets,Coin & Card Holders,Passport Wallets,Long Wallets,Luggage Tags,Lanyard,Bag Straps,Bracelets,Festive_purchase,Order_ID
0,F,2,yes,0,128,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5553
0,F,3,no,0.05,141.55,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5552
0,M,2,yes,0.1,293.4,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5551
0,M,2,no,0,114,Installment,web,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#5550
0,M,4,yes,0,198,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5547
0,F,2,yes,0,169,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5546
0,F,4,yes,0.05,178.6,Cash,web,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,#5545
0,F,2,no,0,128,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5544
0,F,2,no,0,376,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5543
0,F,2,yes,0,486,Installment,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5541
0,F,2,no,0,98,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5540
0,F,3,yes,0.1,169.2,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5539
0,M,2,yes,0,248,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5538
0,F,2,no,0,126,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5536
0,F,5,yes,0,248,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5534
0,M,2,yes,0.13,173,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5533
